publishingorgkey	publishername	publisherurl	total_records	records_with_recordedbyid	pct_with_recordedbyid	records_with_valid_recordedbyid	pct_valid_recordedbyid	records_with_invalid_recordedbyid	pct_invalid_recordedbyid	records_with_orcid	pct_with_orcid	records_with_google_scholar	pct_with_google_scholar	records_with_researcherid	pct_with_researcherid	records_with_wikidata	pct_with_wikidata	records_with_linkedin	pct_with_linkedin
32894589-242a-43f3-b262-33a5bded0e6c	Fundación Abood Shaio	https://www.gbif.org/publisher/32894589-242a-43f3-b262-33a5bded0e6c	34	34	100.00000000000000	34	100.00000000000000	0	0.00000000000000	34	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
facba364-221b-497c-860d-146e5eff2b19	Jardín Botánico de Cali - FZC	https://www.gbif.org/publisher/facba364-221b-497c-860d-146e5eff2b19	3778	3778	100.00000000000000	3778	100.00000000000000	0	0.00000000000000	3778	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
188615d5-af7f-433d-9629-9a3f485a94f1	Corporación para el Desarrollo Integral de la Dignidad Humana	https://www.gbif.org/publisher/188615d5-af7f-433d-9629-9a3f485a94f1	36	36	100.00000000000000	36	100.00000000000000	0	0.00000000000000	36	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
83500190-21b6-445c-ab2c-c0565fc0afce	Awake Travel	https://www.gbif.org/publisher/83500190-21b6-445c-ab2c-c0565fc0afce	8644	8644	100.00000000000000	8644	100.00000000000000	0	0.00000000000000	8644	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
36b934e6-cf7a-4836-a74f-04f556fa1aaf	Research and Action in Natural Wealth Administration (RANWA)	https://www.gbif.org/publisher/36b934e6-cf7a-4836-a74f-04f556fa1aaf	616	616	100.00000000000000	556	90.25974025974026	60	9.74025974025974	556	90.25974025974026	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
8b183cea-efd2-4a0f-b5bc-3f76a5b9a510	Fundación Proyección Eco-Social	https://www.gbif.org/publisher/8b183cea-efd2-4a0f-b5bc-3f76a5b9a510	36	36	100.00000000000000	36	100.00000000000000	0	0.00000000000000	36	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
105e4922-c4d0-4268-b1c8-ccf929a81f8c	Vinoba Bhave University, Hazaribag	https://www.gbif.org/publisher/105e4922-c4d0-4268-b1c8-ccf929a81f8c	178	178	100.00000000000000	178	100.00000000000000	0	0.00000000000000	178	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
b109a950-7105-40d3-9c3c-58f7225fc493	Sathaye College	https://www.gbif.org/publisher/b109a950-7105-40d3-9c3c-58f7225fc493	6	6	100.00000000000000	6	100.00000000000000	0	0.00000000000000	6	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
7eb26760-dfa1-4466-bf6c-d7910bff1acb	FeralScan	https://www.gbif.org/publisher/7eb26760-dfa1-4466-bf6c-d7910bff1acb	141975	141975	100.00000000000000	0	0.00000000000000	141975	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
babd5a0f-09dd-4ff8-96db-589467c0087b	Jeevitnadi	https://www.gbif.org/publisher/babd5a0f-09dd-4ff8-96db-589467c0087b	3910	3898	99.69309462915601	1126	28.79795396419437	2772	70.89514066496164	1126	28.79795396419437	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
7631c0c0-ac74-4147-916d-0084eabbaa6b	INTA-EEA Junín	https://www.gbif.org/publisher/7631c0c0-ac74-4147-916d-0084eabbaa6b	500	498	99.60000000000000	498	99.60000000000000	0	0.00000000000000	498	99.60000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
4e650965-2c51-485c-bad9-968f1a3594eb	Corporación Grupo de Investigación y Observación Ambiental	https://www.gbif.org/publisher/4e650965-2c51-485c-bad9-968f1a3594eb	156	155	99.35897435897436	155	99.35897435897436	0	0.00000000000000	155	99.35897435897436	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
038a1133-81e2-42e8-a4dd-b5ac246eb082	Nature Conservation Foundation	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	596916	592219	99.21312211433435	19816	3.31973007927414	572403	95.89339203506021	19816	3.31973007927414	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
df0ffdb8-5cc9-44ec-8593-a798373ca7da	Corporación Museo de Historia Natural María Belén Rivera Gualy	https://www.gbif.org/publisher/df0ffdb8-5cc9-44ec-8593-a798373ca7da	103	102	99.02912621359223	102	99.02912621359223	0	0.00000000000000	102	99.02912621359223	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
da583013-8a1b-4570-b0e4-c7cb25b2e7bf	Centro Nacional de Investigaciones del Café - Cenicafé	https://www.gbif.org/publisher/da583013-8a1b-4570-b0e4-c7cb25b2e7bf	8853	8714	98.42991076471253	8677	98.01197334236982	37	0.41793742234271	8677	98.01197334236982	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
ffa83b77-6b8c-4c35-807c-d56e1fce7ae3	Universidad San Francisco Xavier de Chuquisaca	https://www.gbif.org/publisher/ffa83b77-6b8c-4c35-807c-d56e1fce7ae3	4292	4121	96.01584342963653	4121	96.01584342963653	0	0.00000000000000	4121	96.01584342963653	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
